epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.24617335575270327, 0.3886708390792405) (0.25181312981202447, 0.40065943416294403)1.1706342930081246
40 (0.2426343810655703, 0.3883103081827843) (0.2495145626031372, 0.4012982866872406)1.1636417967149582
60 (0.24042080635681054, 0.38795950985615346) (0.2517092532248911, 0.4085255660678218)1.1609815235795646
80 (0.24900267735973688, 0.3862692921766897) (0.26179417792767606, 0.41151521577775424)1.1586734481241512
100 (0.24795579775841378, 0.39214224872231684) (0.25166791150436846, 0.4053392895128696)1.1530567962547829
120 (0.24822516630752176, 0.39338157054692485) (0.25473405056647386, 0.4057075923756788)1.1589630246162415
140 (0.24779766137217327, 0.3930014890448841) (0.2575858517625243, 0.4078164825828377)1.154994966654942
160 (0.24338223089552416, 0.384124281762077) (0.25489272261933227, 0.41081654294803815)1.1543042536439567
180 (0.249515101733918, 0.39141065164239397) (0.25971679224259564, 0.4119082997240501)1.1549628962730538
200 (0.23546850231546382, 0.3821310952937427) (0.24656245745699273, 0.40246756009359713)1.1551554059160167
