epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.19752792499159308, 0.3247972684592403) (0.19573140991356078, 0.3223607116224566)1.1415306274918304
40 (0.2128979439374256, 0.34748010610079577) (0.20922158535284577, 0.3380102040816326)1.1083917247837987
60 (0.21310230528784715, 0.3488693067204586) (0.21003224793186603, 0.3399617184176946)1.0882734067138584
80 (0.20926594335102713, 0.34169145771355713) (0.21057523867060232, 0.3399957473952796)1.0800503005926636
100 (0.21275295571774555, 0.34593331917604586) (0.2080434600001066, 0.33782779488268394)1.0746709930485692
120 (0.20705924810315732, 0.3352038115404976) (0.20436822898092452, 0.3336515006893626)1.0567566725029343
140 (0.20477987215919244, 0.3400042580370449) (0.20825228046819538, 0.3402083776312992)1.0509465275139644
160 (0.20773381253962672, 0.3376100095429965) (0.20943989978342256, 0.34161886551943915)1.0501367470313763
180 (0.2003926211135228, 0.327392319117335) (0.2044975832791537, 0.3308486849110851)1.0329170973821618
200 (0.21029424204667466, 0.33837469379060603) (0.20221974751646746, 0.33053280867808144)1.0180826440624806
