epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.348826601088639, 0.5655629139072847) (0.31006503605468566, 0.5124172185430463)0.9224831486741701
40 (0.38645736697571714, 0.6167218543046358) (0.34959078670324467, 0.5640728476821192)0.8491851016879082
60 (0.4163225546367193, 0.6448675496688742) (0.372742277555084, 0.5942052980132451)0.8134524946411451
80 (0.4217563549504388, 0.6514900662251656) (0.381260725410723, 0.5961920529801324)0.7911413485805193
100 (0.43060722545512875, 0.6609271523178808) (0.3883626311865269, 0.6056291390728477)0.7697240337729454
120 (0.4395415291580984, 0.6701986754966888) (0.3968196827647535, 0.6158940397350994)0.7538401434818903
140 (0.4394750190893658, 0.6672185430463576) (0.3993904086797127, 0.614569536423841)0.7433835888902346
160 (0.4413941195877596, 0.6741721854304635) (0.3970893980524619, 0.6150662251655629)0.7408188407619795
