epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.537221003164894, 0.7998344370860927) (0.481984423912987, 0.7382450331125828)0.5493212739626566
40 (0.5995167360502666, 0.8387417218543046) (0.5390253361913053, 0.7880794701986755)0.45121239374081296
60 (0.6159174311231943, 0.8491721854304636) (0.5606581124584464, 0.7948675496688742)0.40708289792140323
80 (0.6225645442901107, 0.8495033112582782) (0.5671251031758611, 0.8001655629139073)0.3829495199024677
100 (0.6191008229582694, 0.8483443708609272) (0.572410275397385, 0.8016556291390728)0.363176924486955
120 (0.6216745954130211, 0.848841059602649) (0.5674787896064488, 0.804635761589404)0.34886068602403003
140 (0.6230340523871328, 0.8475165562913908) (0.5652254090336438, 0.7991721854304635)0.3387117733558019
160 (0.6218952385981517, 0.8438741721854305) (0.5690990709620803, 0.7985099337748345)0.33059164385000867
180 (0.6233206912900997, 0.8486754966887418) (0.5680983285334762, 0.797682119205298)0.3213392322262128
200 (0.619951275670444, 0.8430463576158941) (0.5693982848434792, 0.796523178807947)0.313051017622153
