epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.33479479353142994, 0.5385761589403973) (0.2948160203563315, 0.49072847682119203)0.9629439761241277
40 (0.3871932941276608, 0.6013245033112583) (0.34485176522819466, 0.5521523178807947)0.8845611785848936
60 (0.40613456163635786, 0.6198675496688741) (0.366472611528753, 0.5821192052980132)0.8450342069069544
80 (0.4203594994234256, 0.6382450331125827) (0.3783968412600405, 0.5940397350993377)0.8271104246377945
100 (0.4249333778088195, 0.6422185430463576) (0.38177829570511673, 0.6034768211920529)0.8153608366847038
120 (0.42643014307943666, 0.6513245033112582) (0.38486633781125346, 0.6038079470198675)0.7982865770657858
140 (0.43815012083978977, 0.6586092715231788) (0.39812655977378714, 0.6172185430463576)0.7883272046844164
160 (0.43682455795292396, 0.6557947019867549) (0.3974925594681842, 0.6152317880794702)0.7779957999785742
