epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.5164609818207583, 0.7908940397350993) (0.4544497420330047, 0.7245033112582782)0.5620501140753428
40 (0.5590521404656442, 0.8168874172185431) (0.500160742212798, 0.760430463576159)0.509189615646998
60 (0.5810234540931395, 0.8216887417218544) (0.5171383742971967, 0.7682119205298014)0.4814319300154845
80 (0.5911101360752579, 0.8286423841059603) (0.5308288530450289, 0.7753311258278146)0.45887819677591324
100 (0.5948597489193252, 0.8312913907284768) (0.5383766719034649, 0.777317880794702)0.4434664386014144
120 (0.5963256405917166, 0.8317880794701987) (0.5410103982745097, 0.7799668874172185)0.4301721913119157
140 (0.6006741573055283, 0.8279801324503311) (0.5410392964216056, 0.7778145695364238)0.41968420520424843
160 (0.6001075865918154, 0.8256622516556291) (0.5446317497368254, 0.7778145695364238)0.41269359861811
180 (0.5970446385711126, 0.8276490066225165) (0.5421119021875963, 0.7816225165562913)0.4077252112329006
200 (0.5960897030388467, 0.8306291390728476) (0.5460934732476665, 0.7817880794701987)0.40039534245928127
