epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.1521966668424459, 0.28857615894039734) (0.14140845035440178, 0.2716887417218543)1.2376078565915425
40 (0.1891001693986813, 0.34205298013245033) (0.17198665465251498, 0.31788079470198677)1.1851181934277217
60 (0.20208304863929313, 0.36357615894039735) (0.18539150019999803, 0.34089403973509935)1.1571070353190105
80 (0.22074999783209834, 0.39470198675496687) (0.19911218539862627, 0.356953642384106)1.1403024196624756
100 (0.22551519437908116, 0.39420529801324505) (0.20335461022855839, 0.36390728476821194)1.123267188668251
120 (0.22561143807207265, 0.4033112582781457) (0.21072483084904126, 0.3736754966887417)1.1132067888975143
140 (0.23033123061883876, 0.40860927152317883) (0.21709210337471804, 0.3834437086092715)1.1062231908241908
160 (0.2314994906396687, 0.4105960264900662) (0.21339985237117648, 0.3801324503311258)1.10321140786012
180 (0.23754087749168323, 0.4150662251655629) (0.2188732031533161, 0.38195364238410595)1.0926858633756638
200 (0.24240821040897909, 0.4228476821192053) (0.22363943132100964, 0.39403973509933776)1.0889042019844055
