epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.4294676425894011, 0.6582781456953642) (0.3747500858996486, 0.5928807947019867)0.8108967294295629
40 (0.4880945263986267, 0.7130794701986755) (0.4334945217896428, 0.6559602649006623)0.7130636945366859
60 (0.508103963790966, 0.7362582781456953) (0.45579965840204184, 0.675)0.6738303676247597
80 (0.5232291800552742, 0.7390728476821192) (0.468147400520443, 0.6842715231788079)0.6446266894539198
100 (0.5294436097289928, 0.7463576158940397) (0.4734398000037642, 0.6890728476821192)0.6286166459321976
120 (0.5361150443366777, 0.7518211920529801) (0.48390489708886764, 0.6938741721854305)0.6098222434520721
140 (0.5335254108796607, 0.7491721854304636) (0.4841166934045787, 0.6973509933774834)0.5941955323020617
160 (0.5396145985916556, 0.7524834437086093) (0.4871337584020296, 0.698841059602649)0.5933654879530271
180 (0.5408752521173023, 0.7543046357615895) (0.4875533468995635, 0.6986754966887417)0.5814636175831159
200 (0.5473727110368295, 0.7531456953642384) (0.4923889136216987, 0.7052980132450332)0.5794256255030632
