epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.4651417999207432, 0.7221854304635762) (0.41322501646042104, 0.6541390728476821)0.6975075999895731
40 (0.5089683421028441, 0.7549668874172185) (0.4547337302691182, 0.6978476821192053)0.6289969980716705
60 (0.5259899229625666, 0.7693708609271523) (0.4726809817168669, 0.7105960264900663)0.5986340666810671
80 (0.5390552045085143, 0.7819536423841059) (0.4842611974522916, 0.715728476821192)0.5713747267921766
100 (0.5444832476117533, 0.7812913907284769) (0.4836448727455775, 0.7213576158940397)0.5575293079018593
120 (0.547526090787658, 0.786092715231788) (0.49514931515428945, 0.726158940397351)0.5390703504284223
140 (0.5512923429083247, 0.7862582781456954) (0.49278493693669295, 0.7263245033112583)0.5269250522057215
160 (0.5513320327989666, 0.7816225165562913) (0.4982211531082559, 0.7298013245033113)0.5195943663517634
180 (0.5582740014473787, 0.7867549668874172) (0.5022124631484305, 0.7273178807947019)0.5148319887618223
200 (0.5527003594376393, 0.7882450331125828) (0.4966227744723249, 0.7259933774834437)0.5032816243668398
