epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.5896384869846426, 0.8339403973509933) (0.528943126970935, 0.7834437086092715)0.47507670894265175
40 (0.6208334734133163, 0.847682119205298) (0.5669359666757182, 0.8086092715231789)0.3840457672874133
60 (0.6299377516776042, 0.8493377483443708) (0.570631990719706, 0.8064569536423841)0.34012048070629436
80 (0.6304722185218508, 0.848841059602649) (0.5715061507834642, 0.7985099337748345)0.31376976147294044
100 (0.6289164345901489, 0.8450331125827815) (0.5791628216593944, 0.8077814569536423)0.2943832178910573
120 (0.6272892475974647, 0.8483443708609272) (0.5709515607947726, 0.8029801324503312)0.28032000983754796
140 (0.6287053624646869, 0.8461920529801324) (0.5744265393183423, 0.8076158940397351)0.2718415322403113
160 (0.6305947406175405, 0.8496688741721854) (0.5754848463001333, 0.8026490066225166)0.26523848871390027
180 (0.6306403820103229, 0.8485099337748344) (0.576034196917759, 0.804635761589404)0.2571336179971695
200 (0.6341958425682575, 0.8509933774834437) (0.578348691889032, 0.8086092715231789)0.2506293548891942
