epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.24920707670325967, 0.3999388628489912) (0.2510390842114433, 0.39969418960244646)0.7213459157130935
40 (0.24721822641853344, 0.4013452914798206) (0.24397592959927955, 0.3963688290493676)0.6102711551568725
60 (0.23865237731101935, 0.39154786150712834) (0.24420013528851647, 0.3984518231819108)0.5619396384466778
80 (0.24396196835957512, 0.3962782184258694) (0.2388709307157338, 0.39386840497046244)0.5289278761907057
100 (0.24171487747715015, 0.3921368914239153) (0.2412097239761751, 0.39213288494853765)0.5110295116901398
120 (0.24464326381912285, 0.3929117018026276) (0.2398682811946169, 0.3901866775476895)0.49077860333702783
140 (0.2413647288510654, 0.3950264981655116) (0.2419634173036921, 0.39271874362635123)0.47501881928606465
160 (0.24554332436670193, 0.39627442996742673) (0.23740545215455036, 0.38886623164763456)0.4607572061094371
180 (0.23870180847672978, 0.38380962066510727) (0.23948355406673721, 0.3917336862465642)0.4478564682331952
200 (0.24023662171448573, 0.3898408812729498) (0.24225290467870594, 0.3912289648138705)0.44605745578354056
