epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.2261909131182042, 0.38699501373766154) (0.22952109901944603, 0.4014464704084751)1.005410985513167
40 (0.2262043402286737, 0.3951686882071145) (0.2231540306775478, 0.3914768104149715)0.9251958951354027
60 (0.21818947261660673, 0.3752806695243927) (0.22365357600611874, 0.38901322482197354)0.8777001852338965
80 (0.2195976704472671, 0.37790224032586556) (0.22186079126534233, 0.387458006718925)0.8520189029249278
100 (0.21967534139297695, 0.38104448742746616) (0.2178565408038508, 0.38416123778501626)0.8301710323853926
120 (0.2151579686742366, 0.37343638767415843) (0.2195578037417414, 0.38435651641851926)0.8089270584962585
140 (0.2179981649459215, 0.37810337810337813) (0.22102570970585705, 0.3884078639095447)0.7921661111441526
160 (0.2208850234284085, 0.3823978812264439) (0.2264964256243434, 0.38785284826250893)0.785895283926617
180 (0.22373324249954382, 0.3809766540931797) (0.2183484295404288, 0.3806858654726773)0.7714132524349473
200 (0.21559486956992344, 0.36876907426246186) (0.21731126299944872, 0.3778411986545714)0.7596853077411652
