epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.003334505958122993, 0.007333469138317376) (0.003018935383469664, 0.00733870145754765)1.2665309472517534
40 (0.005783892766174788, 0.011290814769606347) (0.005534578024566191, 0.011522381972060772)1.1616283763538708
60 (0.006588829749064665, 0.01498318214249312) (0.007846661286153144, 0.016423543813118432)1.139979969371449
80 (0.007608943502312505, 0.01588271227855834) (0.0086905639844157, 0.017629674921023134)1.1275158361955122
100 (0.007184474025970577, 0.014096016343207354) (0.007003320247288265, 0.01519168026101142)1.118603066964583
120 (0.0068082614220800666, 0.014044372074089151) (0.006840167581552579, 0.014282799428688023)1.1088620315898547
140 (0.007376901644597651, 0.015295197308045273) (0.006840358029068525, 0.0141721044045677)1.1058036088943481
160 (0.007885716465798815, 0.015588385124808967) (0.006898250036792519, 0.013240985944184151)1.1054216406562112
180 (0.007705527518972129, 0.015703069236259814) (0.007064619759253037, 0.015381481104206987)1.0946651155298406
200 (0.008608408118176909, 0.018456204751707964) (0.006503542578400981, 0.01375025463434508)1.0959988073869185
