epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.24317394350039875, 0.39141981613891724) (0.2434740980438417, 0.3951333740582366)1.127838054841215
40 (0.24550917159141503, 0.39493825900602103) (0.24784055997704907, 0.4034264735875994)1.1030377325686542
60 (0.23651354588426704, 0.3850539604968438) (0.24617957797230033, 0.40075364090029536)1.0780860876495189
80 (0.23824383059880533, 0.3873827965756217) (0.23819104985857353, 0.3947985721570627)1.0596953169866041
100 (0.23645596362223256, 0.3811805484758895) (0.235305404034119, 0.3844118844118844)1.0450455465100028
120 (0.23380361364057964, 0.3762860344300703) (0.23677665721457372, 0.3870243802917474)1.035857966677709
140 (0.22968258239128955, 0.37871690427698573) (0.23465775989732884, 0.3866856968090529)1.0211052305319093
160 (0.2266266069549221, 0.3702383377469953) (0.23063185031587924, 0.38563423331635255)1.0166665931994265
180 (0.2281049280878005, 0.3760057032284347) (0.22905277924478648, 0.378942014242116)1.0046808943152428
200 (0.2242750776932191, 0.3726910909276457) (0.23045248597997123, 0.3776487367563162)0.996122612871907
