epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.3250938136408073, 0.47230142566191446) (0.3048307236501971, 0.4603013029315961)0.10819723050702702
40 (0.3088550639821676, 0.4480473131436729) (0.281335761818615, 0.4264930308271442)0.06419482348825443
60 (0.305637919993947, 0.44494290375203915) (0.28125838315919366, 0.42208388611082764)0.05652356789108704
80 (0.30368099222191236, 0.44208061889250816) (0.27067783264264955, 0.4129307715767002)0.05135144433006644
100 (0.29136993521601123, 0.4262611879576892) (0.26289333684652366, 0.39670094695041236)0.048550867941230536
120 (0.29126846310799, 0.4240603035550575) (0.2633051163199068, 0.3960668432851029)0.0494881181512028
140 (0.2983572958360054, 0.4324737539496484) (0.2721261352350208, 0.4099144951140065)0.04370942768979479
160 (0.2930822059857007, 0.43167006109979633) (0.2692070848977064, 0.40346055979643763)0.044640333984385834
180 (0.2899390639137675, 0.42251223491027734) (0.26633321027700685, 0.40073342161556486)0.040830023904246365
200 (0.2938150807029309, 0.42475530179445353) (0.27591328073075205, 0.41117113444093367)0.038633413718674674
