epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (0.3182677897921593, 0.46438775510204083) (0.3018427963851399, 0.45655495568911075)
40 (0.30518958354318904, 0.44042401386199165) (0.28071412766048537, 0.4296628297850667)
60 (0.298406848794603, 0.4392875318066158) (0.2766261039999995, 0.42138492871690425)
80 (0.2907674883762289, 0.4271617497456765) (0.26120229047480725, 0.3979020266829616)
100 (0.2927731615140912, 0.4269708698309228) (0.2648316199809671, 0.4082629490180116)
120 (0.2932736645785065, 0.4292985849536801) (0.2741611316764748, 0.41541123778501626)
140 (0.2959952554854837, 0.4275524760546159) (0.26470717296301954, 0.4026701997554015)
160 (0.29786439698513945, 0.4325865580448065) (0.2660810534147423, 0.4010804199368056)
180 (0.29015180 (0.21838982149652894, 0.36267318663406684) (0.21916965253130666, 0.3686200 (0.30229427200 (0.2184131988313544, 0.3609443370306299) (0.2173176177307478, 0.3671867033751402)
