epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.2278517991625583, 0.3911097548570847) (0.23265257212442683, 0.40654968373801265)0.9931135448542509
40 (0.2197180001305515, 0.38456054588043587) (0.22999181973138, 0.39859284184765986)0.9195027364925905
60 (0.2165152314107856, 0.377702978376173) (0.22371084577844116, 0.3898564008554843)0.8726524730974977
80 (0.22145124654863307, 0.38574338085539717) (0.22288970332628505, 0.3933726367147794)0.8370271264152094
100 (0.22044062086829838, 0.3798023030673596) (0.22256316719581565, 0.3890531036591581)0.8132828216661107
120 (0.21617321780726934, 0.37723941368078173) (0.21694365569470825, 0.380370596619833)0.7917115525765852
140 (0.21892765527893937, 0.37940158762466925) (0.2192443749073771, 0.381942321410374)0.7830843356522647
160 (0.2192192380169811, 0.3790749796251019) (0.217363180537828, 0.3792120533441922)0.7654190808534622
