epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.24175085399343005, 0.3929917490068249) (0.24544691263678942, 0.40358927296828795)1.1126653132113544
40 (0.24040620018720035, 0.38887190461632526) (0.24438795653764783, 0.39598205180501733)1.07866770029068
60 (0.233494940398083, 0.3864886896270634) (0.23736451980509896, 0.39542217700915566)1.06384678049521
80 (0.22917032528795742, 0.37170214933279005) (0.23885647439274574, 0.38416123778501626)1.0403231924230403
100 (0.22608187605995297, 0.37618513609950044) (0.2299270623470931, 0.3799042087027413)1.0242313011126085
120 (0.22622132622577018, 0.3731282469186106) (0.23274894375594848, 0.38380962066510727)1.01612908935005
140 (0.22560265809532754, 0.3664932149780635) (0.22947297476112463, 0.38151465798045603)1.0019883120601827
160 (0.2264606774278854, 0.3747965825874695) (0.22216873853007368, 0.37024608501118567)0.9927984117106958
180 (0.2208414604877069, 0.36658176260825265) (0.22504362868811872, 0.3756231559670363)0.9871596856550737
200 (0.22459633948758098, 0.3645727105853559) (0.22423824458117023, 0.374044245081048)0.9792393845590678
