epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.24007240015848405, 0.3881599023497101) (0.24123562431293694, 0.39675410840053077)1.1798666327340261
40 (0.2334533238522561, 0.381695745332109) (0.23829299416643587, 0.3961514966401955)1.1743501588276455
60 (0.23404510611295676, 0.3840749414519906) (0.24261509135798282, 0.39477977161500816)1.1686023139953614
80 (0.24206146130200912, 0.3884584013050571) (0.24322042228038235, 0.39133089133089133)1.1655388273511613
100 (0.2384394504753959, 0.3896302332688194) (0.24324560393544703, 0.39537725282557784)1.1673797082901
120 (0.2399320502239339, 0.3879837067209776) (0.23360339251206205, 0.38803383956783205)1.1640214191164289
140 (0.24149106069880463, 0.3910295616717635) (0.24789219659868342, 0.40167278661770706)1.1603161110196796
160 (0.24290982254547527, 0.39381296428207996) (0.24452167319560308, 0.39694501018329936)1.1628188051496233
180 (0.244037357276765, 0.39581845996940335) (0.24541430727212665, 0.3934025656689065)1.16191442830222
200 (0.24035965514597785, 0.3908831327758515) (0.2418123735385762, 0.39482266612311456)1.1586521421160016
