epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.2754193843438323, 0.4373789870579843) (0.2663891119109493, 0.427420998980632)0.9423570602280753
40 (0.21901717153163336, 0.36914460285132383) (0.20875812867444857, 0.35046395431834404)1.0252938982418605
60 (0.26574455451785656, 0.42567292006525287) (0.2610873595147935, 0.419896246566982)0.9416911809785026
80 (0.26883105187418854, 0.4318413021363174) (0.27215020709508636, 0.4292563500969091)0.9211851603644234
100 (0.2752456776029849, 0.4378565607171964) (0.26211980683502234, 0.42201648183945467)0.9053201174736023
120 (0.2698023395101547, 0.4282949684253412) (0.26696852162640866, 0.42371501272264633)0.8930864671298436
140 (0.26124770424273247, 0.41771119942932844) (0.26512547387631846, 0.4206130970567268)0.9138114520481655
160 (0.2696239682651137, 0.4298352654057352) (0.2709576446512464, 0.43017100977198697)0.8829078994478499
180 (0.25550809221731763, 0.42244190786791685) (0.24587677623086457, 0.4052127876196294)0.9324176093510219
200 (0.2510246787140221, 0.4194107452339688) (0.25242502600008826, 0.4175320708613317)0.9154494741984777
