epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.2386490899009911, 0.38599348534201955) (0.2410784564136471, 0.3905963769590881)1.178987171990531
40 (0.23773300749518256, 0.386735835622012) (0.2430710088910692, 0.3915969814399347)1.1741576971326555
60 (0.24317855683670198, 0.38721498371335505) (0.24452269720056405, 0.3944150020383204)1.1750876106534685
80 (0.23667692905851884, 0.38279022403258656) (0.23662089375867912, 0.3931013368711093)1.171157955442156
100 (0.23969919724915376, 0.390392835334826) (0.23389257347586323, 0.3839567832025278)1.1808892795017787
120 (0.23326631473541995, 0.38582195966591976) (0.23569855148265953, 0.39128220796415114)1.1759553037370953
140 (0.24017250698727102, 0.3899806537012524) (0.2434183055732759, 0.39134860050890585)1.1692593826566424
160 (0.23445731977270254, 0.3805309734513274) (0.23817490624295298, 0.39101650030556123)1.1747156640461514
180 (0.24119388542481024, 0.38804148871262967) (0.24223964544309012, 0.39556640227781165)1.1754016051973615
200 (0.23564769866016233, 0.37970307097823874) (0.23701415947742818, 0.38599348534201955)1.1659248897007533
