epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.3120511348692622, 0.4614445574771109) (0.2811360560826292, 0.4331093463653024)0.11473993084260396
40 (0.29640797931372476, 0.4402977465075966) (0.26872153284079325, 0.4121119592875318)0.07647291245205062
60 (0.29944644103534884, 0.4370106761565836) (0.26434404459505756, 0.40113971710593266)0.07048747029687677
80 (0.2946838000134476, 0.434826883910387) (0.2636258063668531, 0.4024054632555295)0.06242332239236151
100 (0.29809422073185543, 0.43699104234527686) (0.2607961718455095, 0.4028967768257854)0.058432377842920165
120 (0.29807259587908475, 0.4389375127213515) (0.26237859612061587, 0.40338016697210344)0.06137940572840827
140 (0.2934982649899616, 0.4339065839014959) (0.2696934680125327, 0.41746484613817)0.057952168094260355
160 (0.29923970385879667, 0.43649501323020556) (0.2663338742943375, 0.4085583290881304)0.06407142281532288
180 (0.3015071490929986, 0.4404967932403543) (0.2701250910905829, 0.4142391525768996)0.06516619651445321
200 (0.2947027433605159, 0.43295292439372324) (0.2710043683420218, 0.41420720537349887)0.06264714039862156
