epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.2381419115862657, 0.4073469387755102) (0.24164755840069685, 0.41224946586631395)0.9641037842205592
40 (0.23974110668439413, 0.4040085461389765) (0.23637588884160948, 0.40006106248727863)0.8541124755995614
60 (0.23880885486686707, 0.4017493897477624) (0.2371663319456549, 0.40166938110749184)0.7804431567873273
80 (0.24506297915712733, 0.40749796251018744) (0.2401404822436938, 0.40252983780475365)0.7328417795045036
100 (0.2410113639474307, 0.40313709513139134) (0.23285459913278217, 0.39207900631236003)0.6959044211251395
120 (0.2443182223745715, 0.4044634668297157) (0.23140690081425078, 0.3897253306205493)0.6682015636989048
140 (0.23972243464700146, 0.3984526112185687) (0.23236893574845896, 0.3885551369514306)0.6486680797168187
160 (0.2416002482974003, 0.3992670263666904) (0.23444614906757055, 0.39040048914704983)0.6355618173735482
180 (0.236596945973201, 0.3862455425369333) (0.23280574289490424, 0.3910080358051063)0.6177652992521013
200 (0.24038125487043108, 0.3917651854871586) (0.23068349294036705, 0.383134738771769)0.6114463402543749
