epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.16140509901720992, 0.2823828920570265) (0.16466338676004874, 0.28833231521075137)1.2157542262758527
40 (0.10387383073423434, 0.2011002444987775) (0.10745849060060322, 0.20656606851549755)1.214770440374102
60 (0.17631015077009632, 0.310576727124516) (0.17631036639056605, 0.30593746817394846)1.1856409754071917
80 (0.17426098071135745, 0.3073787199347737) (0.17875088513517753, 0.30604764813683566)1.1829864828927177
100 (0.17801089342119025, 0.3106114558958185) (0.18133710024685323, 0.3083969465648855)1.1734886789321899
120 (0.17565100015912116, 0.30875763747454177) (0.17999125304150748, 0.30576236613972463)1.158965917995998
140 (0.17988950748233573, 0.31246819338422394) (0.18353715824488764, 0.312984101100693)1.167745475087847
160 (0.17019131820827116, 0.29518072289156627) (0.17481380530563384, 0.30215020890655253)1.162238176550184
180 (0.1450565679964555, 0.2666191591163596) (0.15347974703001466, 0.2735060167244544)1.1520898301260811
200 (0.13624412741045033, 0.25255102040816324) (0.14261870587437073, 0.2528723945094052)1.1549954336030142
