epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.23991847339716876, 0.4069613146881699) (0.23949174988468513, 0.4125076390303524)1.1026389990534102
40 (0.25271201374849384, 0.425869432580842) (0.241594000484089, 0.41166870665034677)1.071353268282754
60 (0.25191481554445233, 0.4270716542656202) (0.2464251794824437, 0.4211115635179153)1.064839859689985
80 (0.25362549094129494, 0.4250050947625841) (0.2517532717348107, 0.4233747707356837)1.0544347657476152
100 (0.2486258204821152, 0.41725226601486914) (0.2526327278433845, 0.43114871063092447)1.0402151029450553
120 (0.25082193630590505, 0.42084352078239606) (0.25558861853508585, 0.4313206394460849)1.0349207506861005
140 (0.2531408532590011, 0.4240725642070933) (0.2564108275389781, 0.4309887869520897)1.0235064581462314
160 (0.24662583581115913, 0.4169805558383386) (0.2584773174506429, 0.4352342158859471)1.018153259754181
180 (0.2472588546497912, 0.4182466870540265) (0.2489982301680748, 0.4253541220829512)1.0028900183950151
200 (0.2516485234542432, 0.42033414832925836) (0.25438798768192666, 0.4305767470247177)1.0078916675703866
