epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.2675694360087441, 0.445361875637105) (0.26027143005112446, 0.4320383399612522)0.9337367068018232
40 (0.27736265674054084, 0.4537763734583631) (0.2705961854576619, 0.4462759462759463)0.9112562584877014
60 (0.2721798333240711, 0.45103434219912364) (0.27441028409100493, 0.44518103008669047)0.8121698018482754
80 (0.23930830909927117, 0.3972783588910328) (0.2405703230035663, 0.39712626108223786)0.863010230064392
100 (0.26586963100858835, 0.43953915171288743) (0.2559206014613062, 0.42246207107219225)0.8362698585646493
120 (0.28048561024039526, 0.4579810532749312) (0.27114681098294924, 0.44521597059123863)0.7954306667191642
140 (0.27259043729338045, 0.45388917132689377) (0.2625706206531715, 0.4348931841302136)0.802131439617702
160 (0.23881719996680825, 0.41806872641990417) (0.2345885189514063, 0.40587995100040836)0.8579472841535296
180 (0.24780730678530172, 0.4259391224676779) (0.24782884788740367, 0.42347198210108816)0.7535607232366289
200 (0.2689892725777336, 0.4509524294591016) (0.25880367134154453, 0.4334012219959267)0.7546753845896039
