epoch (val_ndcg, val_hr) (test_ndcg, test_hr) loss
20 (0.23248162214089782, 0.3766564729867482) (0.2360196045880917, 0.3828682012629864)1.1881519848959787
40 (0.23528965872925234, 0.38140862297421263) (0.23630371819225554, 0.38615071283095725)1.178856782913208
60 (0.23377795558226971, 0.3798979591836735) (0.24091137249010974, 0.3959416743142653)1.1793951511383056
80 (0.23928888605165854, 0.3903084597373511) (0.24584488772938093, 0.39975525188660005)1.1704720285960606
100 (0.24003523424352044, 0.3855299258205467) (0.23794129543956746, 0.3891038696537678)1.1675200046811784
120 (0.23275722310459948, 0.3778684344722081) (0.23873311476444312, 0.38245792962774094)1.170542265347072
140 (0.22013098830837508, 0.360831041857623) (0.22397742957155892, 0.37263286499694565)1.166554945537022
160 (0.2154110476964209, 0.36200753334012015) (0.2143423506204627, 0.36120162932790223)1.16842104775565
180 (0.223220122665527, 0.37091353498319585) (0.22802390502738967, 0.37656393042416847)1.1671070269175938
200 (0.22965958087298938, 0.3757390417940877) (0.23437246522201785, 0.3735111473073399)1.1593860142571586
